timestamp,esp_current,esp_voltage,esp_rpm,plc_motor_temp,env_temp_c,env_humidity,overall_health_score,electrical_health,thermal_health,mechanical_health,power_consumption,relay1_status,relay2_status,relay3_status,is_fault
2025-08-12T00:23:28.272763,4.08,23.3,2795,33.8,24.9,55.3,83.9,78.9,72.8,93.4,0.095,ON,OFF,OFF,False
2025-08-12T00:28:28.272763,3.01,23.8,2819,22.2,21.3,60.0,89.8,71.8,71.0,91.5,0.072,OFF,OFF,OFF,False
2025-08-12T00:33:28.272763,2.48,23.9,2810,16.0,26.1,40.3,77.5,89.9,81.7,91.8,0.059,OFF,OFF,OFF,False
2025-08-12T00:38:28.272763,2.68,24.6,2669,17.8,28.1,49.5,87.2,70.3,89.2,79.8,0.066,OFF,OFF,OFF,False
2025-08-12T00:43:28.272763,3.59,24.0,2691,29.6,20.1,46.8,85.5,83.3,65.4,90.8,0.086,OFF,OFF,OFF,False
2025-08-12T00:48:28.272763,2.0,23.8,2745,13.7,22.7,52.2,78.3,87.8,80.5,76.5,0.048,OFF,OFF,OFF,False
2025-08-12T00:53:28.272763,4.66,24.2,2744,25.3,24.8,42.6,85.2,80.6,89.5,77.5,0.113,ON,OFF,OFF,False
2025-08-12T00:58:28.272763,8.05,20.9,2201,71.8,20.6,46.4,49.1,81.5,85.4,89.3,0.168,ON,ON,ON,True
2025-08-12T01:03:28.272763,3.05,24.0,2824,16.6,26.2,30.7,90.2,73.0,76.7,76.1,0.073,OFF,OFF,OFF,False
2025-08-12T01:08:28.272763,2.78,24.3,2656,19.7,27.5,50.5,81.5,82.9,70.6,91.9,0.068,OFF,OFF,OFF,False
2025-08-12T01:13:28.272763,4.02,24.2,2789,26.5,26.2,49.8,78.5,81.4,70.4,82.4,0.097,ON,OFF,OFF,False
2025-08-12T01:18:28.272763,4.16,24.5,2716,24.5,25.5,68.0,89.4,86.1,77.3,76.1,0.102,ON,OFF,OFF,False
2025-08-12T01:23:28.272763,2.52,23.7,2682,17.4,27.0,59.3,88.9,90.7,78.6,86.5,0.06,OFF,OFF,OFF,False
